bounce,category,category_rank,country_rank,global_rank,organic_search,paid_search,ppv,time,traffic_direct,traffic_display,traffic_mail,traffic_referrals,traffic_search,traffic_social,url,visits
41.96,Vehicles,8,388,1521,90.25,9.75,6.75,00:06:15,36.78,0.73,1.35,15.46,44.01,1.67,autotrader.com,20700000
39.19,Vehicles,7,202,747,91.29,8.71,6.83,00:05:54,21.52,6.45,2.55,9.51,56.16,3.81,cargurus.com,39300000
27.21,Vehicles,21,954,3756,76.42,23.58,10.14,00:07:13,33.84,0.19,2.38,16.15,46.27,1.17,carmax.com,7200000
40.52,Vehicles,72,1422,4884,81.25,18.75,4.94,00:04:20,14.81,0.62,0.7,7.65,75.68,0.54,carid.com,7900000
36.99,Vehicles,9,1283,4653,75.72,24.28,5.65,00:04:38,24.47,3.98,1.69,14.78,54.32,0.76,tirerack.com,7800000
28.12,Vehicles,2,928,3130,96.34,3.66,9.71,00:06:26,56.47,0.01,2.02,7.2,33.95,0.35,rockauto.com,9000000
30.47,Vehicles,11,1216,4825,74.21,25.79,6.25,00:05:15,25.58,0.86,2.94,11.54,58.73,0.35,advanceautoparts.com,7200000
52.9,Vehicles,25,2852,10831,92.27,7.73,3.14,00:02:55,16.12,0.89,1.3,5.59,74.83,1.28,autoanything.com,4400000
50.77,Vehicles,189,3299,12191,90.26,9.74,3.11,00:02:37,13.87,1.37,1.66,7.15,75.65,0.3,autopartswarehouse.com,3900000
31.27,Vehicles,150,489,9272,58.31,41.69,6.27,00:05:12,29.78,0.15,6.44,14.26,48.45,0.93,eurocarparts.com,3800000
49.07,Vehicles,263,4089,16307,76.39,23.61,4.26,00:04:29,17.69,1.28,3.41,7.91,68.57,1.14,etrailer.com,2500000
42.78,Vehicles,248,3992,15492,94.54,5.46,3.84,00:03:05,13.03,0.27,2.25,5.32,78.99,0.14,jcwhitney.com,2700000
57.77,Vehicles,493,7305,27511,98.16,1.84,2.4,00:01:46,7.99,0.87,6.23,4.63,80.06,0.21,autobytel.com,1900000
27.79,Vehicles,174,5736,24047,66.84,33.16,5.48,00:05:07,23.96,2.29,3.37,11.36,57.19,1.83,weathertech.com,1400000
26.03,Vehicles,1148,5067,20322,99.9,0.1,5.64,00:05:08,60.46,0.01,1.75,22.34,14.56,0.88,car-part.com,1800000
40.59,Vehicles,220,3340,13903,74.79,25.21,4.77,00:03:47,23.17,0.37,1.43,10.82,63.53,0.69,napaonline.com,2800000
43.14,Vehicles,89,6601,25667,68.85,31.15,4.59,00:03:35,22.71,0.84,3.32,9.11,63.67,0.36,westmarine.com,1500000
52.2,Vehicles,466,6491,26177,69.18,30.82,4.32,00:02:57,22.8,2.47,3.39,10.75,59.52,1.07,4wheelparts.com,1500000
57.75,Vehicles,410,5555,23610,43.59,56.41,2.8,00:01:54,11.5,14.11,0.47,6.24,65.72,1.96,car.com,2000000
51.23,Vehicles,66,4704,19129,76.31,23.69,4.43,00:03:37,26.99,0.45,4.89,9.45,56.96,1.27,campingworld.com,2100000
33.09,Vehicles,458,6371,25764,92.15,7.85,8.67,00:05:45,25.62,2.31,6.75,13.75,49.22,2.36,rockymountainatvmc.com,1100000
47.75,Vehicles,322,4979,19320,87.68,12.32,3.9,00:03:38,50.63,0.42,18.62,12.02,17.93,0.38,onstar.com,2200000
49.12,Vehicles,20,7502,27583,71.09,28.91,5.51,00:04:40,19.28,2.67,1.66,10.92,62.12,3.35,jpcycles.com,1300000
19.69,Vehicles,13,11035,36874,96.76,3.24,11.76,00:06:17,14.03,0.01,6.12,26.04,50.85,2.96,controller.com,680200
35.58,Vehicles,320,4581,19293,67.05,32.95,6.4,00:04:51,20.39,1.05,3.68,25.91,47.96,1.01,discounttiredirect.com,1700000
55.44,Vehicles,71,7782,31722,62.94,37.06,3.89,00:03:46,34.52,3.55,9.41,10.33,40.29,1.89,eastwood.com,1300000
44.1,Vehicles,565,7783,30985,69.13,30.87,6.83,00:05:07,26.33,0.25,4.7,14.23,52.66,1.83,quadratec.com,1100000
73.68,Vehicles,10,2568,10932,49.16,50.84,1.67,00:01:18,17.13,14.37,1.97,39.35,22.63,4.56,buyatoyota.com,6200000
43.9,Vehicles,721,11952,38245,100,0,4.25,00:01:59,12.66,0.01,0.31,8.47,78.05,0.49,andysautosport.com,1000000
60.41,Vehicles,693,10230,36754,55.18,44.82,4.15,00:03:18,22.79,2.63,1.03,11.79,57.77,3.98,cjponyparts.com,1100000
60.73,Vehicles,666,8460,35519,53.31,46.69,2.77,00:03:01,19.49,0.83,2.32,10.2,63.18,3.98,1aauto.com,1300000
44.03,Vehicles,452,5966,25579,51.9,48.1,4.61,00:04:13,15.1,2.39,2.26,10.13,66.35,3.76,realtruck.com,1400000
54.03,Vehicles,1015,24284,52733,99.65,0.35,3.14,00:02:45,14.08,0,0.18,8,77.38,0.34,1010tires.com,830300
71.6,Vehicles,53,18780,54318,100,0,1.83,00:01:08,13.95,0,0.22,2.67,82.41,0.75,motorcycle-usa.com,1000000
47.01,Vehicles,96,10154,42724,75.67,24.33,3.65,00:03:41,16.93,1.8,2.18,11.89,66.76,0.44,tirebuyer.com,906900
49.83,Vehicles,33,10539,38411,83.42,16.58,4.21,00:03:11,23.34,0.39,6.52,9.91,58.18,1.67,bikebandit.com,1000000
48.73,Vehicles,132,15699,56372,67.02,32.98,5.41,00:03:07,18.62,0.73,3.16,10,67.4,0.1,autohausaz.com,575700
54.07,Vehicles,1421,17499,73341,97.7,2.3,3.27,00:03:17,21.02,0.01,5.34,11.43,61.12,1.07,dealerrater.com,521800
41.08,Vehicles,51,12954,52454,68.31,31.69,4.46,00:04:14,33.24,4.86,4.15,10.56,45.94,1.25,cyclegear.com,681500
41.14,Vehicles,191,1879,52786,72.07,27.93,7.91,00:05:40,21.65,1.01,12.35,9.54,54.18,1.27,motocard.com,517200
50,Vehicles,35,9664,39629,71.37,28.63,6.54,00:03:22,23.1,3.47,2.12,9.28,61.08,0.94,denniskirk.com,799100
51.5,Vehicles,40,17606,62847,54.52,45.48,5.09,00:03:25,22.38,2.32,1.85,21.45,49.44,2.55,morris4x4center.com,542800
47.16,Vehicles,2,9653,36233,96.79,3.21,3.32,00:03:19,15.36,0.05,1.8,5.48,76.94,0.37,iboats.com,1300000
50.72,Vehicles,538,40700,124284,72.42,27.58,4.22,00:05:55,35.11,0.56,1.69,18.63,42.55,1.46,btosports.com,273400
32.04,Vehicles,72,27154,74527,98.09,1.91,5.48,00:03:37,28.6,0.95,0.88,12.78,56.11,0.67,cmsnl.com,483700
58.88,Vehicles,1885,32866,95657,97.37,2.63,2.19,00:01:38,8.77,0,1.48,4.08,85.45,0.21,batterystuff.com,501100
42.85,Vehicles,1396,27469,75822,88.17,11.83,5.41,00:04:15,22.95,0,2.34,11.79,60.72,2.2,foxracing.com,443700
50.02,Vehicles,176,26734,74265,100,0,4.08,00:03:06,28.09,0.01,0.68,10.53,60.41,0.28,hondapartsnow.com,537800
39.89,Vehicles,10,24114,88323,100,0,4.48,00:03:39,29.64,0,1.59,9.72,58.55,0.51,defender.com,389500
40.42,Vehicles,7778,11297,97553,99.99,0.01,4.56,00:04:44,66.51,0.03,1.2,18.49,13.45,0.32,bosch.de,325900
44.49,Vehicles,1663,23597,84931,77.94,22.06,4.65,00:02:32,23.08,1.08,1.96,10,63.37,0.51,bavauto.com,392000
24.89,Vehicles,245,17069,72941,83.53,16.47,8.95,00:05:11,41.84,0.1,2.61,17.79,36.5,1.16,hertzcarsales.com,343600
43.29,Vehicles,201,23996,83803,73.74,26.26,4.93,00:03:44,23.06,3.35,5.39,10.3,57.03,0.88,eeuroparts.com,375100
50.58,Vehicles,7420,27228,94077,76.46,23.54,5.23,00:04:30,32.56,0.72,4.21,13.79,45.04,3.68,chemicalguys.com,338200
56.51,Vehicles,1183,16749,62360,93.73,6.27,3.21,00:03:18,25.49,0.46,4.99,13.05,54.79,1.21,autogeek.net,700000
47.67,Vehicles,1588,22374,81536,96.06,3.94,3.56,00:02:51,19.41,0,0.42,11.8,67.77,0.6,automotivetouchup.com,473300
47.89,Vehicles,1316,18351,68495,91.46,8.54,4.83,00:04:06,26.8,0.4,2.59,6.78,63.28,0.15,classicindustries.com,505500
52.2,Vehicles,1810,28624,92332,93.67,6.33,2.92,00:01:54,19.43,1.13,2.01,11.79,64.57,1.06,turnermotorsport.com,464900
29.7,Vehicles,72,33904,246984,100,0,6.24,00:03:14,57.79,0,0.02,11.27,29.95,0.98,planecheck.com,92400
31.47,Vehicles,656,127690,183501,100,0,4.5,00:03:29,10.36,0,5.28,5.04,77.92,1.4,avbuyer.com,167400
47.62,Vehicles,2108,36487,106595,100,0,3.66,00:02:37,23,0.01,1.28,11.48,64.05,0.17,parts.com,341800
54.61,Vehicles,64,34280,127035,98.46,1.54,3.24,00:02:13,24.24,0.59,2.99,9.04,61.95,1.19,chaparral-racing.com,286500
45.69,Vehicles,1215,16491,63689,96.09,3.91,3.97,00:02:48,8.7,0,0.34,7.21,83.73,0.02,discountedwheelwarehouse.com,559500
42.71,Vehicles,13700,42614,155527,90.29,9.71,3.64,00:02:28,26.02,0.02,0.21,12.49,58.93,2.33,tapplastics.com,213500
42.03,Vehicles,2091,28349,105708,99.47,0.53,5.5,00:02:54,24.01,0,0.39,8.89,66.47,0.24,gmpartsdirect.com,285400
45.03,Vehicles,4246,14549,59718,72.64,27.36,5.32,00:05:10,18.33,0.24,11.89,16.03,45.28,8.23,lmr.com,551900
34.93,Vehicles,19,39247,128700,100,0,3.53,00:02:49,19.82,0,0,4.82,75.36,0,sailnet.com,289900
55.08,Vehicles,393,44923,149633,85.01,14.99,4.66,00:03:17,21.5,0.28,4.19,9.57,58.35,6.12,maperformance.com,208400
30.72,Vehicles,319,19287,81567,70.45,29.55,5.35,00:05:13,15.6,0.64,1.3,12.91,68.92,0.64,mavistire.com,376300
40.36,Vehicles,2460,15458,123781,71.96,28.04,4.25,00:03:37,20.52,0.03,3.85,12.9,61.77,0.93,rimmerbros.co.uk,277100
51.04,Vehicles,492,112550,364356,88.26,11.74,2.74,00:02:01,17.98,0.21,0.16,5.33,75.48,0.84,fibreglast.com,82000
48.1,Vehicles,485,16811,111980,96.65,3.35,3.05,00:02:22,17.86,0.01,1.02,6.28,74.5,0.33,powerbulbs.com,377300
33.68,Vehicles,2666,40206,133885,91.35,8.65,3.74,00:03:50,22.03,0.01,1.31,9.65,63.33,3.67,cobbtuning.com,251600
33.37,Vehicles,2797,46473,140648,100,0,3.4,00:02:22,21.08,0,0.44,7.83,70.12,0.54,paintscratch.com,258300
25.54,Vehicles,3670,13193,181034,84.81,15.19,5.25,00:03:37,11.53,0,1.55,12.15,73.78,0.99,plates4less.co.uk,158600
51.72,Vehicles,2747,48938,137569,95.64,4.36,3.32,00:02:15,24.48,0,3.29,10.74,61.04,0.44,minimania.com,278200
50.29,Vehicles,2709,34672,135811,85.2,14.8,2.94,00:02:49,20.62,0.12,9.73,17.21,50.19,2.13,escortradar.com,290000
42.9,Vehicles,4134,52344,203694,81.6,18.4,4.13,00:02:44,16.94,0,4.48,3.58,72.77,2.24,allthingsjeep.com,143000
43.75,Vehicles,706,49821,156756,88.62,11.38,3.83,00:03:20,22,1.26,9.19,14.72,50.84,1.99,twistedthrottle.com,202100
28.21,Vehicles,4867,70573,238262,99.6,0.4,7.24,00:05:13,33.57,0,3.6,20.42,41.74,0.68,gowesty.com,87400
51.7,Vehicles,507,31429,119665,81.75,18.25,2.94,00:02:24,19.64,0,0.1,7.45,72.64,0.17,monsterscooterparts.com,342900
35.57,Vehicles,182,31626,125293,100,0,5,00:03:38,23.13,0,0.09,8.27,67.91,0.6,stage3motorsports.com,245600
24.5,Vehicles,302,15803,264235,100,0,5.83,00:03:39,21.38,0,0.02,33.04,44.91,0.66,givi.it,82000
35.56,Vehicles,241,19149,219756,99.91,0.09,6.19,00:02:45,20.4,0,0,5.27,74.09,0.24,shoei.com,103500
29.11,Vehicles,34,41728,156749,96.51,3.49,6.54,00:06:19,24.67,0,6.84,28.58,35.14,4.77,clcboats.com,171900
53.33,Vehicles,882,56377,186119,96.12,3.88,2.53,00:01:39,25.87,0.03,0.25,12.58,60.15,1.12,ijdmtoy.com,209300
65.5,Vehicles,147,17500,147893,99.94,0.06,2.93,00:01:46,16.17,0,1.58,13.65,63.19,5.4,wemoto.com,275100
38.62,Vehicles,808,221884,568068,100,0,6.11,00:02:47,27.37,0,0,12.27,60.09,0.28,dragspecialties.com,32200
50.88,Vehicles,818,57942,177292,100,0,2.16,00:01:10,9.25,0,0,1.78,88.97,0,lightbulbs4cars.com,238600
72.95,Vehicles,1406,178308,136860,100,0,3.89,00:01:47,23.09,0,0.64,11.1,40.42,24.76,eonon.com,289500
43.68,Vehicles,767,47124,167769,88.6,11.4,5.39,00:05:04,38.33,0.17,5.46,4.14,47.78,4.12,sailrite.com,157100
35.6,Vehicles,559,56151,208258,95.14,4.86,6.4,00:03:01,22.49,0,4.04,16.87,55.81,0.8,bernardiparts.com,113600
44.08,Vehicles,17740,47579,192446,27.37,72.63,4.04,00:02:32,18.46,0.12,1.12,7.55,72.35,0.4,delcity.net,155200
16.81,Vehicles,5599,74930,271537,72.64,27.36,6.11,00:02:34,17.75,0,0.2,4.72,76.77,0.57,shearcomfort.com,85400
54.05,Vehicles,2821,129031,287368,98.46,1.54,1.9,00:00:50,19.45,0,0,12.38,66.38,1.79,mp3car.com,143300
29.52,Vehicles,8345,116842,390497,94.77,5.23,4.28,00:02:08,20.75,0,0.17,8.36,70.63,0.09,afepower.com,64400
28.14,Vehicles,597,64471,221492,94.15,5.85,6.09,00:03:24,16.45,1.65,0,10.14,71.4,0.35,elementwheels.com,115700
36.07,Vehicles,4957,70841,243069,82.62,17.38,5.36,00:02:37,27.03,0,6.23,25.21,41.53,0,mossmotors.com,106500
40.88,Vehicles,605,59080,203718,96.89,3.11,4.91,00:03:44,24.66,0,0.37,16.07,58.61,0.29,roverparts.com,146400
32.63,Vehicles,7281,90867,343899,100,0,3.86,00:01:59,29.21,0.27,2.48,6.21,61.15,0.69,kchilites.com,94000
29.56,Vehicles,3170,44529,158071,98.79,1.21,8.09,00:03:40,16.5,0,23.35,19.52,39.39,1.25,suncoastparts.com,140200
35.55,Vehicles,3658,64533,180339,98.97,1.03,5.38,00:03:46,30.75,0,2.52,19.19,46.04,1.5,ipdusa.com,148300
66.1,Vehicles,1981,53441,199477,79.21,20.79,2.88,00:01:14,11.56,0.06,2.12,7.03,79.07,0.16,onlinecarstereo.com,196100
24.78,Vehicles,2700,10659,135188,58.78,41.22,7.7,00:06:24,17.11,2.44,0,7.99,72.3,0.15,wheelbasealloys.com,182500
44.36,Vehicles,97,27674,96323,79.4,20.6,5.24,00:03:34,21.35,3.79,7.31,7.86,58.81,0.89,cruisercustomizing.com,330100
31.62,Vehicles,722,67871,520742,100,0,7.26,00:05:11,47.53,0,0,21.78,30.29,0.4,zodiac.nl,31000
29.94,Vehicles,232,26850,214147,97.73,2.27,4.45,00:03:19,17.74,0.03,0.76,14.83,65.54,1.1,agv.com,148700
40.48,Vehicles,57,93682,322411,72.91,27.09,5.37,00:03:55,18.32,0.38,12.61,21.17,44.99,2.53,apsltd.com,68800
22.93,Vehicles,3869,53613,190499,82.78,17.22,7.92,00:04:05,19.05,0.16,1.54,10.73,67.14,1.39,jbugs.com,117100
28.32,Vehicles,6231,95616,297932,95.14,4.86,4.32,00:01:44,25.84,0.09,0,10.02,64.05,0,roversnorth.com,105000
24.42,Vehicles,3388,47827,168418,100,0,6.76,00:05:30,27.13,0,0,53.42,18.93,0.52,streetsideclassics.com,145700
44.03,Vehicles,428,170229,340839,93.58,6.42,3.07,00:02:01,11.96,0.09,0.57,4.94,82.28,0.17,ktm-parts.com,92900
41.76,Vehicles,420,39617,157248,81.69,18.31,3.5,00:03:29,17.58,0.04,0.81,15.28,66.24,0.04,easternmarine.com,244400
24.48,Vehicles,4275,22696,210095,82.52,17.48,6.78,00:03:15,36.56,0,3.92,10.23,41.52,7.76,mx5parts.co.uk,113300
25.76,Vehicles,12136,82821,245393,100,0,5.49,00:01:45,21.06,0,0,9.07,69.1,0.77,passwordjdm.com,116200
47.52,Vehicles,46,85318,270183,100,0,4.68,00:02:25,16.36,0,0.4,12.66,67.43,3.15,glen-l.com,105100
32,Vehicles,894,79221,296015,78.85,21.15,6.28,00:01:46,31.04,0,0.2,11.23,57.53,0,hondapartscheap.com,77600
43.52,Vehicles,714,103546,261441,100,0,2.92,00:01:04,10.87,0,0,5.46,82.79,0.88,greddy.com,135500
46.83,Vehicles,1026,61264,215663,94.78,5.22,2.7,00:01:33,14.11,0,0,7.77,78.13,0,mfgsupply.com,193900
47.18,Vehicles,7404,93560,349336,100,0,3.39,00:01:28,26.52,0,1.37,11.75,58.77,1.6,aev-conversions.com,85300
34.84,Vehicles,1011,95407,373228,100,0,3.57,00:02:33,14.32,0,0.29,10.16,73.63,1.59,pickupspecialties.com,76700
45.42,Vehicles,4027,117431,413181,53.43,46.57,2.14,00:02:10,24.78,1.65,0,7.49,66,0.08,tadibrothers.com,83500
34.4,Vehicles,5649,80233,273677,91.97,8.03,4.82,00:02:05,12.73,0.05,0,5.13,81.77,0.32,roushperformance.com,90400
26.99,Vehicles,288,75088,255954,100,0,5.6,00:05:46,29.83,0,9.21,19.23,39.78,1.96,aerostich.com,91400
43.54,Vehicles,5765,68872,278725,100,0,5.09,00:03:10,21.09,0,0.14,10.7,67.44,0.62,rg-racing.com,85100
40.37,Vehicles,1421,103604,300713,75.86,24.14,2.75,00:01:29,15.29,0.04,0.03,6.18,78.41,0.05,rackattack.com,119800
33.45,Vehicles,1036,94899,378908,45.78,54.22,3.91,00:03:31,14.99,1.23,0,14.64,67.42,1.72,tirechain.com,75300
29.14,Vehicles,918,14264,198221,98.55,1.45,5.46,00:03:27,16.02,0,5.51,6.24,72.23,0,newreg.co.uk,144000
39.99,Vehicles,1822,22066,92905,74.21,25.79,14.42,00:04:12,18.16,0,6.09,17.7,56.59,1.46,broncograveyard.com,223000
35.59,Vehicles,4605,63318,226462,86.78,13.22,8.88,00:02:41,24.97,0.07,0,12.63,60.39,1.95,procivic.com,97900
23.04,Vehicles,4561,56085,224464,100,0,6.53,00:03:47,27,0,0.17,14.77,56.58,1.48,onlinetires.com,105100
49.2,Vehicles,5368,67069,261304,96.05,3.95,4.63,00:03:49,48.28,0,0,20.59,29.51,1.62,zzperformance.com,117400
33.71,Vehicles,8064,42576,378648,84.7,15.3,3.78,00:02:29,10.53,0,0.13,15.38,73.39,0.56,dynamicsounds.co.uk,67400
26.78,Vehicles,7426,229912,350073,100,0,7.13,00:05:36,26.81,0,0,22.37,50.64,0.19,racetech.com,62900
30.68,Vehicles,452,120114,356921,99.86,0.14,5.46,00:03:21,31.44,0,3.86,14.86,48.69,1.14,kuryakyn.com,59100
28.94,Vehicles,314,108333,273164,100,0,5.44,00:02:47,19.78,0,1.99,16.34,60.75,1.13,touratech-usa.com,90300
36.76,Vehicles,1172,50184,200356,70.13,29.87,6.3,00:02:19,18.7,0.43,0.21,9.23,71,0.43,awdirect.com,134000
48.45,Vehicles,65,98456,368816,66.7,33.3,2.64,00:01:22,18.58,0.1,0.32,9.56,69.84,1.61,landfallnavigation.com,91700
19.49,Vehicles,6458,92114,308404,100,0,6.28,00:03:52,18.76,0,3.05,16.25,61.37,0.58,dinancars.com,69300
53.12,Vehicles,7614,130786,358359,100,0,1.79,00:01:44,13.16,0,0.53,6.15,62.92,17.24,mercedessource.com,120800
33.55,Vehicles,491,45778,183877,95.1,4.9,6.12,00:03:20,14.84,0.07,0.21,6.08,78.59,0.2,wheelfire.com,135000
50.41,Vehicles,5338,80020,260061,100,0,5.43,00:05:54,24.93,0,0.45,10.03,63.8,0.78,hondata.com,97200
48.85,Vehicles,43247,120943,393131,95.14,4.86,2.28,00:02:02,32.56,0.06,5.46,20,37.4,4.52,radial.com,97200
37.55,Vehicles,3279,137718,336714,98.99,1.01,2.75,00:01:53,25.62,0,0.43,19.87,53.28,0.8,gromaudio.com,93900
29.56,Vehicles,7145,89900,337664,97.67,2.33,5.16,00:02:05,18.05,0,2.03,9.78,70.14,0,westcoastcorvette.com,76600
25.99,Vehicles,4686,66900,230166,100,0,5.23,00:02:57,19.71,0,2.05,22.34,54.89,1.01,xenondepot.com,113000
35.71,Vehicles,5181,66210,252937,68.37,31.63,4.76,00:04:06,10.11,0.4,1.4,6.05,81.64,0.4,justforjeeps.com,108100
32.41,Vehicles,21767,58931,242925,31.35,68.65,4.68,00:04:23,13.02,3.11,0,10.34,69.8,3.73,tonneaucoversworld.com,105700
